Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
ERI,Eldorado Resorts  Inc.,Mar 8  2017 - Mar 13  ,10.42 - 18.55,0.03,0.16,0.38,0.33,1.62,0.08,0.23,0.26,../test/Nasdaq/ERI/ERI.csv,
BJRI,BJ s Restaurants  Inc.,Feb 16  2017 - Feb 20  ,32.24 - 47.55,0.4,0.56,0.33,0.4,0.47,0.56,0.3,0.55,../test/Nasdaq/BJRI/BJRI.csv,
RILY,B. RILEY FINANCIAL,May 15  2017 - May 19  ,8.50 - 21.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RILY/RILY.csv,
COOL,PolarityTE  Inc.,Mar 16  2016 - Mar 21  ,2.61 - 8.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/COOL/COOL.csv,
CRWS,Crown Crafts  Inc.,Feb 8  2017 - Feb 13  ,7.05 - 10.24,0.23,0.09,0.16,0.13,0.22,0.11,0.1,0.19,../test/Nasdaq/CRWS/CRWS.csv,
FLXS,Flexsteel Industries  Inc.,Apr 17  2017 - Apr 21  ,36.06 - 62.99,0.94,0.65,0.62,1,0.75,0.74,0.67,0.68,../test/Nasdaq/FLXS/FLXS.csv,
KTOS,Kratos Defense Security Solut,Mar 8  2017 - Mar 13  ,5.23 - 9.19,-0.06,-0.07,-0.05,-0.05,-0.13,0.01,0.03,0.02,../test/Nasdaq/KTOS/KTOS.csv,
MSBF,MSB Financial Corp.,Apr 27  2017 - May 1  ,12.52 - 17.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MSBF/MSBF.csv,
APVO,Aptevo Therapeutics Inc.,,,null,,
DFFN,Diffusion Pharmaceuticals Inc.,Mar 27  2017 - Mar 31  ,0.80 - 15.50,N/A,N/A,-1.7,-1.8,N/A,N/A,-1.9,-2.1,../test/Nasdaq/DFFN/DFFN.csv,
CREE,Cree  Inc.,Apr 25  2017 ,20.75 - 31.64,0.14,0.2,0.1,0.1,0.17,0.19,0.09,0.2,../test/Nasdaq/CREE/CREE.csv,
KURA,Kura Oncology  Inc.,Mar 15  2017 - Mar 20  ,2.50 - 10.47,-0.48,-0.37,-0.38,-0.4,-0.42,-0.36,-0.36,-0.37,../test/Nasdaq/KURA/KURA.csv,
SNH,Senior Housing Properties Trust,Feb 21  2017 - Feb 27  ,16.45 - 23.85,0.17,0.16,0.15,0.16,0.13,0.17,0.12,0.18,../test/Nasdaq/SNH/SNH.csv,
ATOM,Atomera Incorporated,,,null,,
EIGR,Eiger BioPharmaceuticals  Inc.,Nov 7  2016 - Nov 11  ,10.71 - 23.10,-3.3,-1.69,-1.17,-1.21,-2.85,-10.42,-1.87,-1.49,../test/Nasdaq/EIGR/EIGR.csv,
OCFC,OceanFirst Financial Corp.,Apr 19  2017 - Apr 24  ,16.77 - 30.70,0.33,0.14,0.38,0.37,0.25,0.16,0.35,0.22,../test/Nasdaq/OCFC/OCFC.csv,
AMSWA,American Software  Inc.,Dec 1  2016 - Dec 5  ,8.56 - 11.94,0.07,0.08,0.08,0.07,0.12,0.06,0.01,0.08,../test/Nasdaq/AMSWA/AMSWA.csv,
EVBG,Everbridge  Inc.,,,null,,
HOMB,Home BancShares  Inc.,Apr 19  2017 - Apr 24  ,18.32 - 29.69,0.28,0.3,0.31,0.33,0.3,0.31,0.31,0.35,../test/Nasdaq/HOMB/HOMB.csv,
ITI,Iteris  Inc.,Feb 9  2017 - Feb 13  ,2.20 - 5.61,-0.03,-0.02,-0.03,-0.02,-0.01,N/A,N/A,-0.04,../test/Nasdaq/ITI/ITI.csv,
TELL,Tellurian Inc.,,,null,,
FCAP,First Capital  Inc.,Apr 27  2017 - May 1  ,26.47 - 35.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FCAP/FCAP.csv,
CNMD,CONMED Corporation,Apr 25  2017 - May 1  ,37.60 - 50.16,0.41,0.46,0.4,0.56,0.42,0.47,0.41,0.54,../test/Nasdaq/CNMD/CNMD.csv,
MAR,Marriott International,Apr 25  2017 - May 1  ,60.87 - 91.07,0.84,0.98,0.88,0.84,0.87,1.03,0.91,0.85,../test/Nasdaq/MAR/MAR.csv,
HUNT,Hunter Maritime Acquisition Cor,,,null,,
BKMU,Bank Mutual Corporation,Apr 18  2017 - Apr 24  ,7.20 - 10.20,0.08,0.08,0.09,0.09,0.1,0.09,0.1,0.09,../test/Nasdaq/BKMU/BKMU.csv,
ATAX,America First Multifamily Inves,Mar 1  2017 - Mar 6  ,5.10 - 6.11,0.08,0.08,0.09,0.06,0.04,0.15,0.07,0.08,../test/Nasdaq/ATAX/ATAX.csv,
MRVC,MRV Communications  Inc.,Mar 6  2017 - Mar 10  ,7.05 - 13.09,0.01,-0.3,-0.3,-0.12,-0.63,-0.47,-0.19,-0.31,../test/Nasdaq/MRVC/MRVC.csv,
CCOI,Cogent Communications Holdings ,Feb 23  2017 - Feb 27  ,34.23 - 44.40,0.07,0.09,0.1,0.12,0.08,0.09,0.08,0.09,../test/Nasdaq/CCOI/CCOI.csv,
HCACU,Hennessy Capital Acquisition Co,,,null,,
FOXA,Twenty-First Century Fox  Inc.,May 2  2017 - May 8  ,23.33 - 31.75,0.47,0.37,0.44,0.49,0.47,0.38,0.51,0.53,../test/Nasdaq/FOXA/FOXA.csv,
DSGX,The Descartes Systems Group Inc,,,null,,
EQFN,Equitable Financial Corp.,,,null,,
HTBI,HomeTrust Bancshares  Inc.,Apr 27  2017 - May 1  ,17.28 - 27.05,0.15,0.17,0.18,0.25,0.18,0.21,0.23,0.17,../test/Nasdaq/HTBI/HTBI.csv,
FIBK,First Interstate BancSystem  In,Apr 24  2017 - Apr 28  ,26.44 - 45.35,0.5,0.52,0.54,0.57,0.45,0.57,0.56,0.55,../test/Nasdaq/FIBK/FIBK.csv,
PGNX,Progenics Pharmaceuticals Inc.,Mar 9  2017 - Mar 13  ,3.80 - 11.59,-0.14,-0.13,-0.13,0.55,-0.1,-0.18,-0.08,0.52,../test/Nasdaq/PGNX/PGNX.csv,
PFIS,Peoples Financial Services Corp,Apr 18  2017 - Apr 24  ,35.26 - 50.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PFIS/PFIS.csv,
CUTR,Cutera  Inc.,May 1  2017 - May 5  ,9.83 - 22.96,-0.12,-0.01,0.04,0.27,-0.16,-0.09,0.12,0.3,../test/Nasdaq/CUTR/CUTR.csv,
CREG,China Recycling Energy Corporat,Aug 12  2016 - Aug 16  ,1.41 - 4.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CREG/CREG.csv,
GPACW,Global Partner Acquisition Corp,,,null,,
CGO,Calamos Global Total Return Fun,,,null,,
MNRO,Monro Muffler Brake  Inc.,May 17  2017 - May 22  ,52.05 - 73.86,0.45,0.49,0.55,0.52,0.42,0.5,0.53,0.53,../test/Nasdaq/MNRO/MNRO.csv,
LJPC,La Jolla Pharmaceutical Company,Feb 23  2017 - Feb 27  ,14.24 - 37.67,-0.74,-0.99,-0.97,-1.2,-0.96,-0.9,-1.23,-1.44,../test/Nasdaq/LJPC/LJPC.csv,
KFFB,Kentucky First Federal Bancorp,May 8  2017 - May 12  ,8.00 - 10.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/KFFB/KFFB.csv,
ANDA,Andina Acquisition Corp. II,,,null,,
LTEA,Long Island Iced Tea Corp.,,,null,,
CTHR,Charles Colvard Ltd,Mar 6  2017 - Mar 10  ,0.83 - 1.49,-0.05,-0.04,-0.05,N/A,-0.08,-0.2,-0.1,-0.09,../test/Nasdaq/CTHR/CTHR.csv,
AIQ,Alliance HealthCare Services  I,Mar 8  2017 - Mar 13  ,5.73 - 10.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/AIQ/AIQ.csv,
ODFL,Old Dominion Freight Line  Inc.,Apr 26  2017 - May 1  ,56.74 - 94.97,0.76,0.95,0.97,0.86,0.72,0.98,1.03,0.83,../test/Nasdaq/ODFL/ODFL.csv,
AGNCB,AGNC Investment Corp.,,,null,,
NTRS,Northern Trust Corporation,Apr 17  2017 - Apr 21  ,61.32 - 91.14,0.95,1.06,1.09,1.13,1.01,1.06,1.11,1.11,../test/Nasdaq/NTRS/NTRS.csv,
CBPO,China Biologic Products  Inc.,Feb 23  2017 - Feb 27  ,97.93 - 137.39,0.55,1.16,1.05,0.84,0.59,1.26,1.22,0.95,../test/Nasdaq/CBPO/CBPO.csv,
SBNY,Signature Bank,Apr 18  2017 - Apr 24  ,113.53 - 164.23,1.95,1.97,2.03,2.09,1.97,1.9,1.41,2.11,../test/Nasdaq/SBNY/SBNY.csv,
HABT,The Habit Restaurants  Inc.,Feb 28  2017 - Mar 6  ,13.20 - 20.44,0.09,0.1,0.06,0.03,0.1,0.09,0.05,0.07,../test/Nasdaq/HABT/HABT.csv,
MAMS,MAM Software Group  Inc.,May 15  2017 - May 19  ,5.10 - 7.77,0.04,0.07,0.03,0.03,0.05,0.12,0.1,0.02,../test/Nasdaq/MAMS/MAMS.csv,
CFBK,Central Federal Corporation,Mar 20  2017 - Mar 24  ,1.10 - 3.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CFBK/CFBK.csv,
ENFC,Entegra Financial Corp.,Apr 19  2017 - Apr 24  ,17.16 - 23.35,N/A,N/A,N/A,0.36,N/A,N/A,N/A,0.39,../test/Nasdaq/ENFC/ENFC.csv,
UG,United-Guardian  Inc.,Mar 27  2017 - Mar 31  ,13.52 - 22.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UG/UG.csv,
LAND,Gladstone Land Corporation,Feb 21  2017 - Feb 27  ,9.51 - 12.89,0.03,0.03,N/A,N/A,0.02,0.01,N/A,0.01,../test/Nasdaq/LAND/LAND.csv,
MARA,Marathon Patent Group  Inc.,Mar 28  2017 - Apr 3  ,1.28 - 3.44,-0.33,-0.24,0.5,-0.25,-0.27,-0.26,0.49,-0.42,../test/Nasdaq/MARA/MARA.csv,
PETX,Aratana Therapeutics  Inc.,Mar 13  2017 - Mar 17  ,3.88 - 10.73,-0.41,-0.42,0.24,-0.48,-0.37,-0.52,0.61,-0.38,../test/Nasdaq/PETX/PETX.csv,
INOD,Innodata Inc.,Feb 22  2017 - Feb 27  ,1.90 - 2.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/INOD/INOD.csv,
CPAAU,Conyers Park Acquisition Corp.,,,null,,
TSCO,Tractor Supply Company,Apr 18  2017 - Apr 24  ,61.50 - 97.25,0.46,1.16,0.66,0.92,0.5,1.16,0.67,0.94,../test/Nasdaq/TSCO/TSCO.csv,
ESND,Essendant Inc.,Feb 14  2017 - Feb 20  ,14.41 - 34.99,0.46,0.83,0.67,0.28,0.45,0.55,0.57,-0.02,../test/Nasdaq/ESND/ESND.csv,
PFBC,Preferred Bank,Apr 18  2017 - Apr 24  ,27.07 - 58.12,0.56,0.58,0.62,0.65,0.56,0.61,0.69,0.7,../test/Nasdaq/PFBC/PFBC.csv,
ONEQ,Fidelity Nasdaq Composite Index,,,null,,
GFED,Guaranty Federal Bancshares  In,Apr 17  2017 - Apr 21  ,14.90 - 21.95,0.27,0.33,0.33,0.37,0.29,0.28,0.35,0.34,../test/Nasdaq/GFED/GFED.csv,
KLREU,KLR Energy Acquisition Corp.,,,null,,
FARM,Farmer Brothers Company,May 3  2017 - May 8  ,24.59 - 37.55,0.25,0.32,0.26,0.3,0.24,0.23,0.21,0.12,../test/Nasdaq/FARM/FARM.csv,
FTSL,First Trust Senior Loan Fund ET,,,null,,
BLDR,Builders FirstSource  Inc.,Mar 1  2017 - Mar 6  ,9.04 - 15.71,-0.12,0.36,0.38,0.09,-0.11,0.31,0.61,0.16,../test/Nasdaq/BLDR/BLDR.csv,
STX,Seagate Technology PLC,Apr 27  2017 - May 1  ,18.42 - 49.79,0.37,0.6,0.9,1.08,0.22,0.69,0.99,1.38,../test/Nasdaq/STX/STX.csv,
PFMT,Performant Financial Corporatio,Feb 23  2017 - Feb 27  ,1.51 - 4.07,-0.01,-0.01,-0.04,-0.04,0.04,0.06,0.02,-0.03,../test/Nasdaq/PFMT/PFMT.csv,
FCAN,First Trust Canada AlphaDEX Fun,,,null,,
INSE,Inspired Entertainment  Inc.,,,null,,
ISHG,iShares S P/Citigroup 1-3 Year,,,null,,
KALU,Kaiser Aluminum Corporation,Feb 14  2017 - Feb 20  ,69.41 - 96.06,1.27,1.38,1.25,1.16,1.51,1.02,1.02,1.27,../test/Nasdaq/KALU/KALU.csv,
DTYS,Barclays PLC,,,null,,
SALE,RetailMeNot  Inc.,May 1  2017 - May 5  ,6.69 - 12.93,0.11,0.04,0.06,0.31,0.13,0.1,0.1,0.37,../test/Nasdaq/SALE/SALE.csv,
TGA,Transglobe Energy Corp,,,null,,
RSYS,RadiSys Corporation,May 1  2017 - May 5  ,3.41 - 5.81,0.02,0.06,0.04,0.04,0.05,0.1,0.07,0.04,../test/Nasdaq/RSYS/RSYS.csv,
FAD,First Trust Multi Cap Growth Al,,,null,,
CARA,Cara Therapeutics  Inc.,Mar 8  2017 - Mar 13  ,4.35 - 19.44,-0.33,-0.42,-0.42,-0.47,-0.35,-0.39,-0.48,-0.42,../test/Nasdaq/CARA/CARA.csv,
UNFI,United Natural Foods  Inc.,Mar 6  2017 - Mar 10  ,33.16 - 52.18,0.66,0.63,0.62,0.5,0.76,0.7,0.58,0.5,../test/Nasdaq/UNFI/UNFI.csv,
KPTI,Karyopharm Therapeutics Inc.,Mar 13  2017 - Mar 17  ,6.27 - 14.63,-0.82,-0.74,-0.76,-0.81,-0.81,-0.75,-0.84,-0.69,../test/Nasdaq/KPTI/KPTI.csv,
AUDC,AudioCodes Ltd.,May 3  2017 - May 10  ,3.68 - 7.26,0.04,0.06,0.07,0.08,0.04,0.06,0.08,0.08,../test/Nasdaq/AUDC/AUDC.csv,
GFNCP,General Finance Corporation,,,null,,
MSON,MISONIX  Inc.,Aug 19  2016 - Aug 22  ,3.83 - 11.50,0.02,0.07,0.07,0.06,0.18,0.05,0.11,0.05,../test/Nasdaq/MSON/MSON.csv,
ACWX,iShares MSCI ACWI ex US Index F,,,null,,
TACO,Del Taco Restaurants  Inc.,Mar 13  2017 ,8.43 - 15.32,0.17,0.08,0.12,0.12,0.18,0.08,0.13,0.13,../test/Nasdaq/TACO/TACO.csv,
NVAX,Novavax  Inc.,Feb 27  2017 - Mar 3  ,1.16 - 8.49,-0.27,-0.25,-0.26,-0.23,-0.29,-0.29,-0.24,-0.21,../test/Nasdaq/NVAX/NVAX.csv,
CRAY,Cray Inc,May 1  2017 - May 5  ,16.10 - 43.40,-0.25,-0.25,-0.34,1.23,-0.13,-0.29,-0.49,1.38,../test/Nasdaq/CRAY/CRAY.csv,
GT,The Goodyear Tire Rubber Comp,Apr 25  2017 - May 1  ,24.31 - 36.61,0.71,1.03,1.18,0.87,0.72,1.16,1.17,0.95,../test/Nasdaq/GT/GT.csv,
PIRS,Pieris Pharmaceuticals  Inc.,Mar 20  2017 - Mar 24  ,1.30 - 3.09,-0.12,-0.12,-0.14,-0.15,-0.07,-0.1,-0.14,-0.14,../test/Nasdaq/PIRS/PIRS.csv,
IRDMB,Iridium Communications Inc,,,null,,
ATTU,Attunity Ltd.,May 3  2017 - May 8  ,4.15 - 10.50,-0.01,N/A,0.03,0.01,-0.1,0.01,-0.1,0.06,../test/Nasdaq/ATTU/ATTU.csv,
QSII,Quality Systems  Inc.,May 17  2017 - May 22  ,10.61 - 15.90,0.17,0.18,0.19,0.2,0.19,0.15,0.23,0.23,../test/Nasdaq/QSII/QSII.csv,
ACRS,Aclaris Therapeutics  Inc.,Mar 21  2017 - Mar 27  ,14.12 - 33.25,-0.33,-0.48,-0.62,-0.66,-0.28,-0.65,-0.62,-0.5,../test/Nasdaq/ACRS/ACRS.csv,
OTEX,Open Text Corporation,,,null,,
FPAY,FLEXSHOPPER  INC,Mar 28  2017 - Apr 3  ,2.50 - 8.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FPAY/FPAY.csv,
FNLC,First Bancorp  Inc (ME),Apr 18  2017 - Apr 24  ,18.50 - 33.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FNLC/FNLC.csv,
COGT,Cogint  Inc.,Mar 13  2017 - Mar 17  ,2.90 - 6.22,0.12,0.09,0.06,0.09,0.11,0.06,0.04,0.04,../test/Nasdaq/COGT/COGT.csv,
GEC,Great Elm Capital Group  Inc.,Oct 13  2016 - Oct 14  ,3.15 - 30.42,-0.9,-0.96,-0.9,-0.48,-0.96,-1.08,-1.35,-1.04,../test/Nasdaq/GEC/GEC.csv,
MFINL,Medallion Financial Corp.,,,null,,
MIK,The Michaels Companies  Inc.,Mar 15  2017 - Mar 20  ,19.00 - 31.36,0.35,0.17,0.43,0.95,0.36,0.17,0.4,0.96,../test/Nasdaq/MIK/MIK.csv,
BANFP,BancFirst Corporation,,,null,,
BOTZ,Global X Robotics Artificial,,,null,,
PCAR,PACCAR Inc.,Apr 24  2017 - Apr 28  ,48.17 - 70.12,0.96,1.02,1,0.86,0.99,1.06,0.98,0.82,../test/Nasdaq/PCAR/PCAR.csv,
GPOR,Gulfport Energy Corporation,May 2  2017 - May 8  ,16.57 - 34.67,0.09,0.13,0.1,0.22,0.14,0.24,0.16,0.34,../test/Nasdaq/GPOR/GPOR.csv,
DGAS,Delta Natural Gas Company  Inc.,,,null,,
VALU,Value Line  Inc.,Mar 9  2017 - Mar 13  ,14.05 - 25.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/VALU/VALU.csv,
TDIV,First Trust NASDAQ Technology D,,,null,,
PXI,PowerShares DWA Energy Momentum,,,null,,
MSFT,Microsoft Corporation,Apr 20  2017 ,48.04 - 65.91,0.64,0.58,0.68,0.79,0.62,0.69,0.76,0.83,../test/Nasdaq/MSFT/MSFT.csv,
IBKC,IBERIABANK Corporation,Apr 25  2017 - May 1  ,62.66 - 91.10,0.99,1.14,1.2,1.14,1.01,1.18,1.08,1.16,../test/Nasdaq/IBKC/IBKC.csv,
ACWI,iShares MSCI ACWI Index Fund,,,null,,
SLM,SLM Corporation,Apr 18  2017 - Apr 24  ,5.56 - 12.60,0.11,0.11,0.11,0.14,0.14,0.12,0.12,0.15,../test/Nasdaq/SLM/SLM.csv,
ADSK,Autodesk  Inc.,Feb 23  2017 - Feb 27  ,49.82 - 89.18,-0.14,-0.13,-0.24,-0.34,-0.1,0.05,-0.18,-0.28,../test/Nasdaq/ADSK/ADSK.csv,
CDXC,CHROMADEX CORP,May 10  2017 - May 15  ,2.25 - 3.95,N/A,N/A,N/A,-0.02,N/A,N/A,N/A,-0.02,../test/Nasdaq/CDXC/CDXC.csv,
QYLD,Horizons NASDAQ-100 Covered Cal,,,null,,
ARKR,Ark Restaurants Corp.,May 11  2017 - May 15  ,20.00 - 27.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ARKR/ARKR.csv,
TLGT,Teligent  Inc.,Oct 21  2016 - Oct 24  ,4.46 - 8.66,-0.02,-0.02,N/A,N/A,0.02,0.02,0.01,0.01,../test/Nasdaq/TLGT/TLGT.csv,
MDWD,MediWound Ltd.,Jan 26  2017 - Jan 27  ,4.25 - 8.90,-0.24,-0.23,-0.26,-0.25,-0.17,-0.34,-0.26,-0.09,../test/Nasdaq/MDWD/MDWD.csv,
NXEO,Nexeo Solutions  Inc.,,,null,,
ISSC,Innovative Solutions and Suppor,May 9  2017 - May 15  ,2.49 - 4.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ISSC/ISSC.csv,
ENSG,The Ensign Group  Inc.,May 8  2017 - May 12  ,16.76 - 23.86,0.34,0.33,0.34,0.37,0.34,0.33,0.32,0.3,../test/Nasdaq/ENSG/ENSG.csv,
PAAS,Pan American Silver Corp.,,,null,,
TIPT,Tiptree Inc.,,,null,,
BPTH,Bio-Path Holdings  Inc.,Mar 14  2017 - Mar 20  ,0.70 - 3.19,-0.01,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.03,../test/Nasdaq/BPTH/BPTH.csv,
CNET,ChinaNet Online Holdings  Inc.,Apr 12  2017 - Apr 17  ,0.97 - 2.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CNET/CNET.csv,
MEET,MeetMe  Inc.,May 3  2017 - May 8  ,2.71 - 8.11,0.02,0.05,0.1,0.16,0.07,0.09,0.1,0.19,../test/Nasdaq/MEET/MEET.csv,
KTOV,Kitov Pharmaceuticals Holdings,,,null,,
SBSI,Southside Bancshares  Inc.,Apr 27  2017 - May 1  ,24.63 - 38.99,0.42,0.5,0.52,0.51,0.51,0.43,0.49,0.43,../test/Nasdaq/SBSI/SBSI.csv,
FOLD,Amicus Therapeutics  Inc.,Feb 24  2017 - Feb 28  ,4.41 - 9.83,-0.34,-0.33,-0.32,-0.33,-0.35,-0.4,-0.33,-0.42,../test/Nasdaq/FOLD/FOLD.csv,
KANG,iKang Healthcare Group  Inc.,Mar 13  2017 - Mar 17  ,13.72 - 19.20,0.26,-0.1,0.25,0.33,0.26,-0.11,0.17,0.3,../test/Nasdaq/KANG/KANG.csv,
QCRH,QCR Holdings  Inc.,Apr 18  2017 - Apr 24  ,22.75 - 45.00,0.49,0.52,0.51,0.62,0.53,0.53,0.46,0.64,../test/Nasdaq/QCRH/QCRH.csv,
LPTX,Leap Therapeutics  Inc.,,,null,,
CMCO,Columbus McKinnon Corporation,Jan 26  2017 - Jan 30  ,13.85 - 29.23,0.36,0.31,0.36,0.35,0.37,0.34,0.36,0.22,../test/Nasdaq/CMCO/CMCO.csv,
SNGXW,Soligenix  Inc.,,,null,,
MLNX,Mellanox Technologies  Ltd.,Apr 19  2017 - Apr 26  ,38.75 - 55.80,0.76,0.83,0.92,0.86,0.81,0.87,0.93,0.82,../test/Nasdaq/MLNX/MLNX.csv,
INGN,Inogen  Inc,Mar 13  2017 - Mar 17  ,32.98 - 79.94,0.12,0.2,0.13,0.11,0.11,0.25,0.16,0.25,../test/Nasdaq/INGN/INGN.csv,
EWBC,East West Bancorp  Inc.,Apr 18  2017 - Apr 24  ,31.02 - 56.97,0.67,0.69,0.69,0.71,0.74,0.71,0.76,0.76,../test/Nasdaq/EWBC/EWBC.csv,
TCBIL,Texas Capital Bancshares  Inc.,,,null,,
FFKT,Farmers Capital Bank Corporatio,Apr 19  2017 - Apr 24  ,24.71 - 44.65,0.43,0.43,0.43,0.47,0.82,0.47,0.58,0.41,../test/Nasdaq/FFKT/FFKT.csv,
GPIC,Gaming Partners International C,Mar 22  2017 - Mar 27  ,8.47 - 12.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GPIC/GPIC.csv,
JAKK,JAKKS Pacific  Inc.,Feb 21  2017 - Feb 27  ,4.63 - 9.75,-0.94,-0.31,1.1,-0.62,-1.01,-0.27,0.82,-0.47,../test/Nasdaq/JAKK/JAKK.csv,
DTEA,DAVIDsTEA Inc.,Apr 10  2017 - Apr 14  ,6.30 - 14.30,0.32,0.03,-0.06,-0.06,0.34,0.04,-0.07,-0.07,../test/Nasdaq/DTEA/DTEA.csv,
DTUS,Barclays PLC,,,null,,
NTRA,Natera  Inc.,Mar 6  2017 - Mar 10  ,7.55 - 13.80,-0.46,-0.48,-0.55,-0.62,-0.17,-0.46,-0.5,-0.73,../test/Nasdaq/NTRA/NTRA.csv,
BL,BlackLine  Inc.,,,null,,
MSEX,Middlesex Water Company,Aug 2  2016 - Aug 5  ,29.64 - 44.48,N/A,N/A,N/A,0.29,N/A,N/A,N/A,0.19,../test/Nasdaq/MSEX/MSEX.csv,
MB,MINDBODY  Inc.,May 1  2017 - May 5  ,11.91 - 27.41,-0.17,-0.14,-0.12,-0.08,-0.12,-0.1,-0.09,-0.04,../test/Nasdaq/MB/MB.csv,
SGLBW,Sigma Labs  Inc.,,,null,,
IVFGC,Ivy NextShares,,,null,,
TRNC,tronc  Inc.,Feb 28  2017 - Mar 6  ,8.76 - 17.93,0.86,0.25,-0.15,0.3,1.04,-0.22,-0.29,0.53,../test/Nasdaq/TRNC/TRNC.csv,
HBANP,Huntington Bancshares Incorpora,,,null,,
RPXC,RPX Corporation,May 1  2017 - May 5  ,8.60 - 12.67,0.13,0.13,0.23,0.17,0.15,0.18,0.25,0.12,../test/Nasdaq/RPXC/RPXC.csv,
IFEU,iShares FTSE EPRA/NAREIT Europe,,,null,,
RDUS,Radius Health  Inc.,Feb 23  2017 - Feb 27  ,28.00 - 59.88,-0.74,-0.95,-1.03,-1.34,-0.94,-1.01,-1.07,-1.22,../test/Nasdaq/RDUS/RDUS.csv,
SLVO,Credit Suisse AG,,,null,,
ANGI,Angie's List  Inc.,Apr 18  2017 - Apr 24  ,5.22 - 10.76,0.05,-0.04,-0.14,0.08,-0.07,0.08,-0.28,0.15,../test/Nasdaq/ANGI/ANGI.csv,
PYPL,PayPal Holdings  Inc.,Apr 25  2017 - May 1  ,34.00 - 44.52,0.35,0.36,0.35,0.42,0.37,0.36,0.35,0.42,../test/Nasdaq/PYPL/PYPL.csv,
FNBC,First NBC Bank Holding Company,Jan 30  2017 - Feb 3  ,3.30 - 26.19,0.84,0.92,0.65,0.62,0.92,0.86,1.17,0.18,../test/Nasdaq/FNBC/FNBC.csv,
IMMU,Immunomedics  Inc.,Feb 1  2017 - Feb 6  ,1.95 - 6.08,-0.13,-0.11,-0.14,-0.13,-0.17,-0.17,-0.17,-0.23,../test/Nasdaq/IMMU/IMMU.csv,
TACOW,Del Taco Restaurants  Inc.,,,null,,
LYTS,LSI Industries Inc.,Apr 19  2017 - Apr 24  ,8.12 - 13.45,0.04,0.09,0.11,0.03,0.02,0.06,0.03,0.08,../test/Nasdaq/LYTS/LYTS.csv,
AMTX,Aemetis  Inc,Mar 22  2017 - Mar 27  ,1.01 - 2.94,N/A,-0.26,-0.27,-0.18,N/A,-0.25,-0.21,-0.07,../test/Nasdaq/AMTX/AMTX.csv,
MDGL,Madrigal Pharmaceuticals  Inc.,,,null,,
TINY,Harris Harris Group  Inc.,Mar 14  2017 - Mar 20  ,1.18 - 1.97,0.12,-0.05,-0.06,0.07,-0.33,-0.13,-0.05,-0.54,../test/Nasdaq/TINY/TINY.csv,
FTXD,First Trust Nasdaq Retail ETF,,,null,,
SELB,Selecta Biosciences  Inc.,,,null,,
STRT,Strattec Security Corporation,Apr 27  2017 ,27.80 - 60.38,0.94,0.53,0.2,0.43,0.52,0.16,0.42,0.11,../test/Nasdaq/STRT/STRT.csv,
CYRXW,CryoPort  Inc.,,,null,,
AOSL,Alpha and Omega Semiconductor L,May 2  2017 - May 8  ,10.31 - 23.93,-0.05,0.05,0.13,0.13,N/A,0.14,0.19,0.18,../test/Nasdaq/AOSL/AOSL.csv,
NVET,Nexvet Biopharma plc,May 10  2017 - May 15  ,2.61 - 5.70,-0.44,-0.48,-0.41,-0.37,-0.5,-0.34,-0.44,-0.46,../test/Nasdaq/NVET/NVET.csv,
CUI,CUI Global  Inc.,Mar 13  2017 - Mar 17  ,4.01 - 9.42,-0.01,-0.05,-0.03,-0.05,-0.06,-0.13,-0.07,-0.02,../test/Nasdaq/CUI/CUI.csv,
BCTF,Bancorp 34  Inc.,,,null,,
BNTC,Benitec Biopharma Limited,,,null,,
